"Trans Stat Date","Trans Stat Itype","Trans Stat Station Library","Trans Stat User Profile Name","Trans Stat Id"
"2022-02-25","EQ-ECFHOT","KC-NE","KC-PUBLIC","20220225115646007580JZ2018297834"
"2022-02-27","EQ-ECFHOT","KC-BLUFORD","KC-PUBLIC","20220227155821006664FZ-1271751475"
"2022-02-27","EQ-ECFHOT","KC-NE","KC-PUBLIC","20220227153713006205JZ210224773"
"2022-02-28","EQ-ECFHOT","KC-CENTRAL","KC-PUBLIC","20220228204247012032JZ-1487371545"
"2022-02-28","EQ-ECFHOT","KC-NE","KC-PUBLIC","20220228123618008249JZ359197516"
"2022-02-28","EQ-ECFHOT","KC-NE","KC-PUBLIC","20220228123716008266JZ627226836"
"2022-02-28","EQ-ECFHOT","KC-NE","KC-PUBLIC","20220228123741008270FZ-2074719941"
"2022-02-28","EQ-ECFHOT","KC-NE","KC-PUBLIC","20220228123741008272FZ194516784"
"2022-03-02","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220302133135009416CV-1958575891"
"2022-03-02","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220302133159009427CV-26992502"
"2022-03-02","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220302133216009435CV-1446641879"
"2022-03-02","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220302133236009443CV-1080764877"
"2022-03-02","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220302133254009451CV-1737639870"
"2022-03-03","EQ-ECFHOT","KC-NE","KC-PUBLIC","20220303160240007825JZ-1771336534"
"2022-03-03","EQ-ECFHOT","KC-NE","KC-PUBLIC","20220303193656007841JZ813652287"
"2022-03-03","EQ-ECFHOT","KC-NE","KC-PUBLIC","20220303193703007845FZ1714906065"
"2022-03-03","EQ-ECFHOT","KC-SE","KC-PUBLIC","20220303155245014691JZ1685490249"
"2022-03-07","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220307101750015329CV1435967933"
"2022-03-07","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220307112755012634CV1806945699"
"2022-03-08","EQ-ECFHOT","KC-CENTRAL","KC-PUBLIC","20220308204843001321FZ-518014098"
"2022-03-08","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220308111500007899CV637039615"
"2022-03-09","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220309101616013432CV648710441"
"2022-03-11","EQ-ECFCB","KC-CENTRAL","KC-STAFF","20220311110939013718CV-2052043483"
"2022-03-11","EQ-ECFCB","KC-CENTRAL","KC-STAFF","20220311143403007716CV-1371111771"
"2022-03-11","EQ-ECFCB","KC-CENTRAL","KC-STAFF","20220311152332006973CV-763473522"
"2022-03-11","EQ-ECFCB","KC-CENTRAL","KC-STAFF","20220311165531006994CV941900858"
"2022-03-11","EQ-ECFCB","KC-TRAILS","KC-PUBLIC","20220311130815007822CV461159954"
"2022-03-11","EQ-ECFCB","KC-TRAILS","KC-STAFF","20220311134838013316CV-1016188275"
"2022-03-11","EQ-ECFCB","KC-WALDO","KC-STAFF","20220311120606013273CV-2095573928"
"2022-03-11","EQ-ECFCB","KC-WALDO","KC-STAFF","20220311120810006125CV-427564230"
"2022-03-11","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220311101633010931CV331551842"
"2022-03-12","EQ-ECFCB","KC-CENTRAL","KC-PUBLIC","20220312142121009602CV-526605266"
"2022-03-12","EQ-ECFCB","KC-NE","KC-PUBLIC","20220312164121005397CV884450783"
"2022-03-12","EQ-ECFCB","KC-WALDO","KC-PUBLIC","20220312122509010621CV1686317766"
"2022-03-12","EQ-ECFCB","KC-WALDO","KC-PUBLIC","20220312125401006144CV-643791900"
"2022-03-12","EQ-ECFCB","KC-WSTPORT","KC-STAFF","20220312094315009366CV-1671954740"
"2022-03-12","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220312141917011333CV1862222570"
"2022-03-13","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220313112639005633CV2056251494"
"2022-03-14","EQ-ECFCB","KC-CENTRAL","KC-PUBLIC","20220314140800011183CV1134118512"
"2022-03-14","EQ-ECFCB","KC-CENTRAL","KC-STAFF","20220314092032010514CV-1727846294"
"2022-03-14","EQ-ECFCB","KC-CENTRAL","KC-STAFF","20220314094430011137CV-1789705987"
"2022-03-14","EQ-ECFCB","KC-CENTRAL","KC-STAFF","20220314205349009134CV-1625664929"
"2022-03-14","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220314102456013035CV2137066133"
"2022-03-14","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220314181736003833CV-1116309128"
"2022-03-15","EQ-ECFCB","KC-CENTRAL","KC-PUBLIC","20220315130432002115CV1818862148"
"2022-03-15","EQ-ECFCB","KC-CENTRAL","KC-PUBLIC","20220315140327012411CV2009893658"
"2022-03-15","EQ-ECFCB","KC-NE","KC-PUBLIC","20220315170520017503CV1742460679"
"2022-03-15","EQ-ECFCB","KC-TRAILS","KC-STAFF","20220315170836019441CV-266176616"
"2022-03-15","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220315112619011635CV1289912260"
"2022-03-15","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220315182639003633CV758077692"
"2022-03-16","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220316102202013629CV1555386420"
"2022-03-16","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220316134144008769CV-2113997922"
"2022-03-16","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220316134200008774CV1529369379"
"2022-03-16","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220316134225008779CV1738727115"
"2022-03-16","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220316134244008784CV-1892756619"
"2022-03-16","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220316134256008789CV-904773647"
"2022-03-17","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220317181932005831CV1500565857"
"2022-03-18","EQ-ECFCB","KC-CENTRAL","KC-STAFF","20220318150842011325CV-2059738468"
"2022-03-18","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220318102321012341CV-721236707"
"2022-03-19","EQ-ECFCB","KC-CENTRAL","KC-PUBLIC","20220319101153007819CV1539142431"
"2022-03-19","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220319112908001045CV-777037277"
"2022-03-20","EQ-ECFHOT","KC-CENTRAL","KC-STAFF","20220320102651005343CV-270867414"
"2022-03-21","EQ-ECFCB","KC-CENTRAL","KC-PUBLIC","20220321143957009643CV930012447"
"2022-03-22","EQ-ECFCB","KC-CENTRAL","KC-PUBLIC","20220322183040008481RV268195846"
"2022-03-22","EQ-ECFCB","KC-CENTRAL","KC-STAFF","20220322144803005126CV-1665737022"
"2022-03-22","EQ-ECFHOT","KC-NE","KC-PUBLIC","20220322152715007220FZ1949319886"
"2022-03-23","EQ-ECFCB","KC-CENTRAL","KC-STAFF","20220323090304010188CV2114688320"
"2022-03-23","EQ-ECFCB","KC-CENTRAL","KC-STAFF","20220323130650007779CV-1424511743"
"2022-03-23","EQ-ECFCB","KC-SE","KC-STAFF","20220323110016009884CV1366572511"
"2022-03-24","EQ-ECFCB","KC-CENTRAL","KC-PUBLIC","20220324144424008007CV-1798356729"
"2022-03-24","EQ-ECFCB","KC-CENTRAL","KC-PUBLIC","20220324153847008086CV485044455"
"2022-03-24","EQ-ECFCB","KC-CENTRAL","KC-PUBLIC","20220324155800006759CV-1658525003"
"2022-03-24","EQ-ECFCB","KC-SE","KC-STAFF","20220324153644005111CV1085165982"
"2022-03-24","EQ-ECFHOT","KC-RUIZ","KC-STAFF","20220324123550013551CV-1495331785"
"2022-03-26","EQ-ECFCB","KC-BLUFORD","KC-PUBLIC","20220326165634007380CV496243240"
"2022-03-26","EQ-ECFCB","KC-BLUFORD","KC-STAFF","20220326082432005110CV-1521668095"
"2022-03-26","EQ-ECFCB","KC-WSTPORT","KC-PUBLIC","20220326132440009085CV1243559547"
"2022-03-27","EQ-ECFCB","KC-CENTRAL","KC-STAFF","20220327163443009474CV-1494844049"
"2022-03-28","EQ-ECFCB","KC-TRAILS","KC-STAFF","20220328151536008906CV-956877549"
"2022-03-29","EQ-ECFCB","KC-CENTRAL","KC-STAFF","20220329092226010812CV-1899960885"
"2022-03-29","EQ-ECFHOT","KC-CENTRAL","KC-PUBLIC","20220329095817013895JZ376272530"
